LHS	Relation	RHS
animals	need	water also
all living things	need	nutrients
animals	take in	food
animals	get	nutrients
all cells	need	oxygen
living things	change	the sun 's energy
living things	make	their[producers] own food
humans	use	resources from the environment
humans	create	shelters & energy
humans	use	wood
humans	build	homes
humans	use	materials also
humans	create	energy
humans	need	food
scientists	use	tools & instruments often in_addition_to their senses
scientists	observe	matter
scientists	use	an anemometer
scientists	determine	wind speed
all living things	need	air & water
plants	need	light
the plant	gets	the energy
cactus	hold	water
palm trees	absorb	extra sunlight
palm trees	have	wide leaves
animals	need	air & water & food
some animals	grow	thick fur in winter in winter
some animals	increase	body fat in winter in winter
a scientist	use	a graduated cylinder
a scientist	measure	the volume of a liquid
living things	need	food & water & air
animals	need	air & water & food
plants	need	air & water & nutrients & light
plants	require	air & water & nutrients & light in order
tough outer coatings	protect	the plant from the environment
all animals	take in	food & water & nutrients
the body	growing	new bone cells
new bone cells	repair	the break
new clean forms of energy	conserve	fossil fuels
force	do	work
plants	need	air & water & nutrients & light
animals	need	air & food & water
plants	need	water & light & air & food
a plant	have	a large root system
a large root system	find	water deep within the ground
a tough outer coating	prevent	the loss of water
organisms	reproduce	dna from the parents
organisms	form	the genetic information for the new offspring
the animal	make	energy
our bodies	bringing	water to our skin
work	involves	the changing of an object 's position
animals	get	long periods of time with little food through
elephants	protect	them from predators
the fish	get	oxygen from the water while swimming
all living things	produce	offspring
(  thorns  on )	protect	the plant
roots	reach	the water supply
animals	find	shelter & food
some animals	change	the color of their body
skunks	give off	a very foul smell
many animals	change	their body with the seasons
(  flying  south in the winter )	avoid	the cold months
the best way in addition to eating healthfully exercising and getting rest	avoid	harmful substances
the lungs	remove	the chemicals
the liver	remove	these foreign substances
plants	make	their own food by photosynthesis
the sun	appears	each day
(  action their roots )	secure	the plant
(  action their roots )	seek	water
( becoming very small pieces  )	create	soil
plants	make	their own food by a process
the leaves	contain	chlorophyll
the leaves	collect	light
pelicans	collect	many fish in their large beaks
a number of different objects	appear	each day night in the sky
plants	make	their own food by a process
freezing	changing	water from its[change] liquid state to its[state] solid state by removal
melting	changing	water from its solid state to a liquid state by addition
plants	break down	rocks also by action
plants	give_off	oxygen
the oxygen	enters	the blood in the lungs
the oxygen	carry	the oxygen throughout the body
sound move tiny bones in our ears	send	a message through the auditory nerve to the brain
the taste buds	send	information to the brain
your body	have	energy
your body	repair	itself[body]
living things	take in	nutrients
the dolphin	swims	its[dolphin] flipper
plants	take in	use the type of air
plants	make	their own food a process
plants	give off	oxygen & water a process
many animals	need	a gas
flowers	have	nice scents for a reason
plants	increase	the process in size
plants & animals	increase	the process in size
( the liver the organ  )	cleans	the blood
the science	studies	the relationships between organisms and their environments
animals	eat	plants
living things	break down	dead organisms
living things	recycle	their[consumers] nutrients into the soil
humans	created	pollution the ways
anything	has	mass
anything	takes up	space
energy	gives	us & warmth
two surfaces	are	resistance in contact
areas	need	rainwater for everyday use
scientists	investigate	a problem & situation a process
the flower	has	a pleasant scent
a pleasant scent	attracts	birds & insects
the force	slows down	the motion of a bicycle
the force	brings	objects toward the earth
the force	pulls	objects toward the earth
plants & animals	increase	a process in size
animals	protect	themselves in a way
some animals	deal	another way with changes in the weather
the plates	make up	the earth 's crust
the sun	causes	the phase change
it[energy]	evaporate	change from liquid water to water vapor
the plant	create	food
the plant	produce	food
regular exercise	live	a healthy lifestyle
the plant	produce	food
the offspring	has	characteristics similar to the parents
cells from the male and female parts of the plant	form	seeds
the lungs	send	the carbon dioxide
it[skin]	cools down	our body
an organism	has	an offspring
an animal	breaks	a bone
two objects	produce	mechanical energy
the bulb	give off	light
the ground	absorb	the water eventually
the ground	absorbs	the water
it[water]	breaks	the rock
plants	make	food
animals	cause	harm to the environment
it[organism]	needs	water
a deep cut	leaves	a scar
humans	construct	new homes & buildings
they[humans]	change	the landscape of the nonliving environment
rain	occur	anytime during the year
birds	building	a nest on tree branches and squirrels living inside a tree trunk
animals	using	plants for shelter
magnet	attract	objects
an example of a plant responding to a change in its[plant] environment	falling off	trees in fall
mechanical energy	playing	a guitar
mechanical energy	pounding	a fist on a table
life cycles	include	( that beginning life into an adult reproduction as an adult and eventually death )
its[kind] own stages of growth of development	includes	seed & young plant & mature plant
your body	making	new skin cells
they[producers]	provide	the basic food supply for themselves[producers] and animals
it[sky]	reflects	light from the sun
water animals	produce	very large numbers of eggs
the main function of a turtle 's shell	protect	the turtle
animals	require	air & water & food
all animals	take in	oxygen
farmers	plant	harvest grain & wheat & corn & fruits & vegetables
skiers & surfers	apply	wax often to their[skiers] skis to boards
scientists	record	their[scientists] observations often in a journal in notebook
scientists	keep	accurate records for future review
the plant	perform	photosynthesis
plants	give off	oxygen
animals	give off	carbon dioxide
plants	producing	flowers & fruits
fruits	have	seeds
animals	exhaling	carbon dioxide through their mouth through nose
it[body]	circulating	blood throughout the body
some animals	sending	special sounds out
some animals	protect	themselves[predators]
scared or upset our body	increasing	our heart rate
humans	raising	animals
humans	changed	the environment also
humans	cultivating	crops
humans	developing	communities in areas
humans	changed	their[humans] environment
plants	forming	seeds from the male pollen and female eggs cells found in the flower
lobsters & crabs	protect	them[others] from predators
lobsters & crabs	protect	themselves with their claws
dogs	have	legs
birds	have	wings
fish	have	fins
the animal	create	energy
animals	change	color similar to their environment
a nutrient	give	energy them
the blood	carries	the waste dioxide back to the lungs
