LHS	Relation	RHS
fungi	absorb	nutrients
fungi	absorb	nutrients
hyphae	absorb	nutrients
pigments in the plant	absorb	the sun 's energy
plants	absorb	minerals
plants	absorb	nutrients in water trough
the main function of the roots	absorb	water
the roots	absorbed	water
most decomposers	absorbing	the organic matter
a green pigment	absorbs	sunlight
an opaque object	absorbs	all the light
changes in the environment	affect	organisms
number of flights taken by a species for migration	affect	the total life span of a butterfly
climate change	affected	many migrating birds
the number of hours of daylight	affects	your emotional state
the main function of the fibrous root	anchor	the plant
decomposers	are	the organisms
a magnetic force	attract	objects to the magnet
animals	attract	mates
magnets	attract	some other metals
magnets	attract	a variety of materials that have metal or mineral components
the female	attract	a male
advertising coloration	attracts	animals
the roots of the plants	bind	the soil
bacteria	break down	dead matter
decomposers	break down	animal droppings
decomposers	break down	dead organisms
fungi	break down	the decaying material
invertebrates	break down	wastes of other organisms
microorganisms in their intestines	break down	cellulose
millipedes	break down	dead matter
most decomposers	break down	dead organisms
organisms	break down	waste such as fecal matter
other organisms	break down	dead plants
pigments in the plant	break down	water molecules
plants	break down	food much the same way as animals
scavengers	break down	dead plants
the decomposers like fungi	break down	the organic matter
the plants	break down	dead organic matter
the various micro-organisms	break down	the organic materials
they[scavengers]	break down	plants
decomposers _	breaking down	waste
tillage	breaking up	it[soil]
an organism	breaks down	the nutrients of dead organisms or wastes for food
a stream	brings	nutrients
the insect	brings	beauty
warmer air	brings	more heat
decay	broken down	their tissues
flow	brought	the water
the body	build	body parts
the engine	burn	it[smoke]
the body	burns	these nutrients
they[producers]	called	scavenger
they[producers]	called	scavenger
a moving diaphragm	capture	the sound
plants	captured	the sun
plants	carried out	the process of photosynthesis
a flash of light	carries	information
a stream	carries	materials
the steam	carries	the energy
xylem tissue	carries	nutrients
an electrical conductor	carry	electricity
living beings	carry out	respiration
deep booming sound	carry over	long distances
any gradient	carrying	soil particles
alterations	cause	modifications
excessive erosion	cause	problems such as receiving water sedimentation ecosystem damage including dead fish and outright loss of soil
rising sea levels due to climate change	cause	flooding
gravity	caused	movement
hard water based chemicals	caused	stains
mineral deposits	caused	spots
moving charges	caused	the electro-magnetic field
moving mass	caused	gravity field
the earth 's rotation	caused	the centrifugal force
acid rain	causes	erosion
gravity	causes	an attraction
gravity	causes	the ocean 's tides
heat exhaustion	causes	even fainting
resistance	causes	friction
rotation	causes	day
the magnetic field	causes	a magnetic force
many species	change	the colour of their fur plumage
other animals	change	the color of their skin
the coats of some animals	change	colour
water pollution	changed	destruction of ecosystems ecosystems
the phone on the other end	changes	the electrical energy
most window air conditioners	collect	this moisture
the leaves	collect	sunlight
liquid metal	conduct	electricity
mercury	conduct	electricity
most metals	conduct	electricity
an organism	consume	plant
another organism	consumes	the producer
cells	contain	a nucleus
chloroplasts	contain	chlorophyll
flowers	contain	female reproductive structures
green plants	contain	chlorophyll
plant cells	contain	chloroplasts
the soil	contain	energy in the forms of various chemical compounds
their leaves	contain	a pigment
they[decomposers]	contain	the nutrients
a gram of soil	contains	40 million bacterial cells
the mouth	contains	jaws
the stem	contains	most of the water
solar energy	contributes	the water cycle
humans	control	the environment
exercise	controls	weight
plants	convert	light energy
plants	convert	energy
loudspeakers	converting	incoming electrical energy
a generator	converts	mechanical energy
a microphone	converts	sound energy
a steam engine	converts	the heat energy of steam
a turbine	converts	the kinetic energy
insulated fur	covers	a warming layer of fat
algae	create	energy
plants	create	seeds
cold air passing over warmer water or moist land	created	sea smoke
the freezing of rain	created	ice pellets
gasoline	creating	high pressure on the piston
farmers	cut	forests
temperatures	damage	many types of plants
enzymes	decompose	dead plants
fungi	decompose	organic matter
water	delivers	nutrients
the genes	determined	a person 's eye color
ducks	developed	webbed feet
omnivore	devours	the plant
millions of animals	die	every year
the nuts	disappeared	the winter
a rock	displaces	the volume of liquid
heat from the sun or a dry wind	dissipate	the fog
water	drains	toxins
humans	drive	their[humans] muscles
